nome,posicao,naturalidade,clube,idade
Richard Ríos,Meia,Colombia,Sociedade Esportiva Palmeiras,23
Rick Karsdorp,Lateral direito,Netherlands,AS Roma,28
Rico Lewis,Lateral direito,England,Manchester City,18
Ridle Baku,Lateral direito,Germany,VfL Wolfsburg,25
Riyad Mahrez,Meia direito,Algeria,Al-Ahli SFC,32
Robert Andrich,Meia,Germany,Bayer 04 Leverkusen,29
Robert Arboleda,Zagueiro,Ecuador,São Paulo Futebol Clube,31
Robert Lewandowski,Centroavante,Poland,FC Barcelona,35
Robert Sánchez,Goleiro,Spain,Chelsea FC,25
Roberto Firmino,Centroavante,Brazil,Al-Ahli SFC,32
Robin Le Normand,Zagueiro,Spain,Real Sociedad,26
Rodri,Volante,Spain,Manchester City,27
Rodri Sánchez,Meia atacante,Spain,Real Betis Balompié,23
Rodrigo Battaglia,Volante,Argentina,Clube Atlético Mineiro,32
Rodrigo Becão,Zagueiro,Brazil,Fenerbahce,27
Rodrigo Caio,Zagueiro,Brazil,CR Flamengo,30
Rodrigo Nestor,Meia,Brazil,São Paulo Futebol Clube,23
Rodriguinho,Meia,Brazil,São Paulo Futebol Clube,19
Rodrygo,Meia direito,Brazil,Real Madrid,22
Roger Ibañez,Zagueiro,Brazil,Al-Ahli SFC,24
Rogério,Lateral esquerdo,Brazil,VfL Wolfsburg,25
Romain Perraud,Lateral esquerdo,France,OGC Nice,26
Romelu Lukaku,Centroavante,Belgium,AS Roma,30
Roméo Lavia,Volante,Belgium,Chelsea FC,19
Ronald Araújo,Zagueiro,Uruguay,FC Barcelona,24
Roni,Volante,Brazil,Sport Club Corinthians Paulista,24
Rony,Centroavante,Brazil,Sociedade Esportiva Palmeiras,28
Ruan Oliveira,Meia,Brazil,Sport Club Corinthians Paulista,23
Ruben Loftus-Cheek,Meia,England,AC Milan,27
Rubens,Lateral esquerdo,Brazil,Clube Atlético Mineiro,22
Rubén Blanco,Goleiro,Spain,Olympique Marseille,28
Rui Patrício,Goleiro,Portugal,AS Roma,35
Rui Silva,Goleiro,Portugal,Real Betis Balompié,29
Ruofan Liu,Meia direito,China,Shanghai Shenhua,24
Ryan Gravenberch,Meia,Netherlands,Liverpool FC,21
Ryan Kent,Meia esquerdo,England,Fenerbahce,26
Ryo Hatsuse,Lateral esquerdo,Japan,Vissel Kobe,26
Ryotaro Hironaga,Goleiro,Japan,Vissel Kobe,33
Ryuho Kikuchi,Zagueiro,Japan,Vissel Kobe,26
Réver,Zagueiro,Brazil,Clube Atlético Mineiro,38
Rômulo,Centroavante,Brazil,Club Athletico Paranaense,21
Rúben Dias,Zagueiro,Portugal,Manchester City,26
Rúben Neves,Volante,Portugal,Al-Hilal SFC,26
Saad Balobaid,Lateral esquerdo,Saudi Arabia,Al-Ahli SFC,23
Sacha Boey,Lateral direito,France,Galatasaray,23
Sadio Mané,Meia esquerdo,Senegal,Al-Nassr FC,31
Saleh Al-Shehri,Centroavante,Saudi Arabia,Al-Hilal SFC,29
Salem Al-Dawsari,Meia esquerdo,Saudi Arabia,Al-Hilal SFC,32
Salih Özcan,Volante,Turkey,Borussia Dortmund,25
Salman Al-Faraj,Meia,Saudi Arabia,Al-Hilal SFC,34
Salvatore Sirigu,Goleiro,Italy,OGC Nice,36
Samet Akaydin,Zagueiro,Turkey,Fenerbahce,29
Sami Al-Najei,Meia atacante,Saudi Arabia,Al-Nassr FC,26
Samuel Chukwueze,Meia direito,Nigeria,AC Milan,24
Samuel Gigot,Zagueiro,France,Olympique Marseille,30
Samuel Iling Junior,Meia esquerdo,England,Juventus FC,20
Samuel Xavier,Lateral direito,Brazil,Fluminense Football Club,33
Santos,Goleiro,Brazil,CR Flamengo,33
Sardar Azmoun,Centroavante,Iran,AS Roma,28
Saud Abdulhamid,Lateral direito,Saudi Arabia,Al-Hilal SFC,24
Scott Carson,Goleiro,England,Manchester City,38
Scott McTominay,Volante,Scotland,Manchester United,26
Sebastiaan Bornauw,Zagueiro,Belgium,VfL Wolfsburg,24
Sebastian Szymanski,Meia atacante,Poland,Fenerbahce,24
Seko Fofana,Meia,Cote d'Ivoire,Al-Nassr FC,28
Serdar Aziz,Zagueiro,Turkey,Fenerbahce,32
Serge Gnabry,Meia direito,Germany,Bayern Munich,28
Sergej Milinkovic-Savic,Meia,Serbia,Al-Hilal SFC,28
Sergi Altimira,Meia,Spain,Real Betis Balompié,22
Sergi Roberto,Lateral direito,Spain,FC Barcelona,31
Sergio Gómez,Lateral esquerdo,Spain,Manchester City,23
Sergio Reguilón,Lateral esquerdo,Spain,Manchester United,26
Sergio Rico,Goleiro,Spain,Paris Saint-Germain,30
Shenchao Wang,Lateral esquerdo,China,Shanghai Port,33
Shenglong Jiang,Zagueiro,China,Shanghai Shenhua,22
Shenglong Li,Centroavante,China,Shanghai Port,30
Shenyuan Li,Lateral direito,China,Shanghai Port,25
Shinzo Koroki,Centroavante,Japan,Urawa Red Diamonds,36
Shiyuan Yang,Volante,China,Shanghai Port,28
Shohei Takahashi,Zagueiro,Japan,Vissel Kobe,31
Shola Shoretire,Meia atacante,England,Manchester United,19
Shoya Nakajima,Meia atacante,Japan,Urawa Red Diamonds,28
Shuai Li,Lateral esquerdo,China,Shanghai Port,27
Shuhei Kawasaki,Second Striker,Japan,Vissel Kobe,22
Shunkai Jin,Zagueiro,China,Shanghai Shenhua,22
Shusaku Nishikawa,Goleiro,Japan,Urawa Red Diamonds,36
Shuto Adachi,Midfield,Japan,Vissel Kobe,19
Simon Kjaer,Zagueiro,Denmark,AC Milan,34
Simon Ngapandouetnbu,Goleiro,Cameroon,Olympique Marseille,20
Sofiane Diop,Meia esquerdo,France,OGC Nice,23
Sofyan Amrabat,Volante,Morocco,Manchester United,27
Soungoutou Magassa,Zagueiro,France,AS Monaco,20
Stanislav Lobotka,Volante,Slovakia,SSC Napoli,28
Stefan Bajcetic,Volante,Spain,Liverpool FC,18
Stefan Ortega,Goleiro,Germany,Manchester City,30
Stefan de Vrij,Zagueiro,Netherlands,Inter Milan,31
Stefano Sensi,Meia,Italy,Inter Milan,28
Stephan El Shaarawy,Meia esquerdo,Italy,AS Roma,30
Steve Mandanda,Goleiro,France,Stade Rennais FC,38
Sultan Al-Ghannam,Lateral direito,Saudi Arabia,Al-Nassr FC,29
Sumaihan Al-Nabit,Meia esquerdo,Saudi Arabia,Al-Ahli SFC,27
Sven Ulreich,Goleiro,Germany,Bayern Munich,35
Sébastien Haller,Centroavante,Cote d'Ivoire,Borussia Dortmund,29
Sérgio Oliveira,Meia,Portugal,Galatasaray,31
Taichi Fukui,Meia,Japan,Bayern Munich,19
Taiga Kameda,Goleiro,Japan,Vissel Kobe,16
Takahiro Akimoto,Left Midfield,Japan,Urawa Red Diamonds,24
Takahiro Ogihara,Volante,Japan,Vissel Kobe,32
Takahiro Sekine,Left Midfield,Japan,Urawa Red Diamonds,27
Takefusa Kubo,Meia direito,Japan,Real Sociedad,22
Takehiro Tomiyasu,Lateral direito,Japan,Arsenal FC,24
Takuma Eguchi,Lateral esquerdo,Japan,Vissel Kobe,16
Takumi Minamino,Meia esquerdo,Japan,AS Monaco,28
Takuya Iwanami,Zagueiro,Japan,Urawa Red Diamonds,28
Takuya Ogiwara,Lateral esquerdo,Japan,Urawa Red Diamonds,23
Talisca,Meia atacante,Brazil,Al-Nassr FC,29
Talles Costa,Meia,Brazil,São Paulo Futebol Clube,21
Tammy Abraham,Centroavante,England,AS Roma,26
Tanguy Ndombélé,Meia,France,Galatasaray,26
Tarek Buchmann,Zagueiro,Germany,Bayern Munich,18
Teddy Boulhendi,Goleiro,Algeria,OGC Nice,22
Terem Moffi,Centroavante,Nigeria,OGC Nice,24
Tetsushi Yamakawa,Lateral direito,Japan,Vissel Kobe,26
Tetsuya Chinen,Zagueiro,Japan,Urawa Red Diamonds,25
Tetê,Meia direito,Brazil,Galatasaray,23
Theo Hernández,Lateral esquerdo,France,AC Milan,26
Thiago,Meia,Spain,Liverpool FC,32
Thiago Andrade,Meia esquerdo,Brazil,Club Athletico Paranaense,22
Thiago Heleno,Zagueiro,Brazil,Club Athletico Paranaense,35
Thiago Maia,Volante,Brazil,CR Flamengo,26
Thiago Santos,Volante,Brazil,Fluminense Football Club,34
Thiago Silva,Zagueiro,Brazil,Chelsea FC,39
Thibaut Courtois,Goleiro,Belgium,Real Madrid,31
Thomas Meunier,Lateral direito,Belgium,Borussia Dortmund,32
Thomas Müller,Second Striker,Germany,Bayern Munich,34
Thomas Partey,Volante,Ghana,Arsenal FC,30
Thuler,Zagueiro,Brazil,Vissel Kobe,24
Tiago Tomás,Centroavante,Portugal,VfL Wolfsburg,21
Tijjani Reijnders,Meia,Netherlands,AC Milan,25
Tim Köhler,Zagueiro,Germany,RB Leipzig,18
Timo Schlieck,Goleiro,Germany,RB Leipzig,17
Timo Werner,Centroavante,Germany,RB Leipzig,27
Timothy Fosu-Mensah,Lateral direito,Netherlands,Bayer 04 Leverkusen,25
Timothy Weah,Right Midfield,United States,Juventus FC,23
Tom Heaton,Goleiro,England,Manchester United,37
Tom Hülsmann,Goleiro,Germany,Bayern Munich,19
Tommaso Pobega,Meia,Italy,AC Milan,24
Tomoaki Okubo,Meia direito,Japan,Urawa Red Diamonds,24
Tomás Cuello,Meia esquerdo,Argentina,Club Athletico Paranaense,23
Toni Kroos,Meia,Germany,Real Madrid,33
Toshiki Takahashi,Centroavante,Japan,Urawa Red Diamonds,24
Trent Alexander-Arnold,Lateral direito,England,Liverpool FC,25
Trevoh Chalobah,Zagueiro,England,Chelsea FC,24
Tyias Browning,Zagueiro,China,Shanghai Port,28
Tyrell Malacia,Lateral esquerdo,Netherlands,Manchester United,24
Ulysses Llanez,Meia esquerdo,United States,VfL Wolfsburg,22
Umar Sadiq,Centroavante,Nigeria,Real Sociedad,26
Umut Nayir,Centroavante,Turkey,Fenerbahce,30
Unai Gómez,Meia,Spain,Athletic Bilbao,20
Unai Marrero,Goleiro,Spain,Real Sociedad,22
Unai Simón,Goleiro,Spain,Athletic Bilbao,26
Urko González de Zarate,Volante,Spain,Real Sociedad,22
Vaclav Cerny,Meia direito,Czech Republic,VfL Wolfsburg,26
Valentin Rongier,Meia,France,Olympique Marseille,28
Vanderlan,Lateral esquerdo,Brazil,Sociedade Esportiva Palmeiras,21
Vanderson,Lateral direito,Brazil,AS Monaco,22
Victor Boniface,Centroavante,Nigeria,Bayer 04 Leverkusen,22
Victor Hugo,Meia,Brazil,CR Flamengo,19
Victor Lindelöf,Zagueiro,Sweden,Manchester United,29
Victor Nelsson,Zagueiro,Denmark,Galatasaray,25
Victor Osimhen,Centroavante,Nigeria,SSC Napoli,24
Vinicius Junior,Meia esquerdo,Brazil,Real Madrid,23
Vinicius Kauê,Lateral esquerdo,Brazil,Club Athletico Paranaense,20
Virgil van Dijk,Zagueiro,Netherlands,Liverpool FC,32
Vitinha,Meia,Portugal,Paris Saint-Germain,23
Vitinha,Centroavante,Portugal,Olympique Marseille,23
Vitor Bueno,Meia atacante,Brazil,Club Athletico Paranaense,29
Vitor Eudes,Goleiro,Brazil,Fluminense Football Club,24
Vitor Mendes,Zagueiro,Brazil,Fluminense Football Club,24
Vitor Roque,Centroavante,Brazil,Club Athletico Paranaense,18
Víctor Cantillo,Volante,Colombia,Sport Club Corinthians Paulista,30
Wai-Tsun Dai,Volante,China,Shanghai Shenhua,24
Walce,Zagueiro,Brazil,São Paulo Futebol Clube,24
Waleed Abdullah,Goleiro,Saudi Arabia,Al-Nassr FC,37
Warmed Omari,Zagueiro,France,Stade Rennais FC,23
Warren Zaïre-Emery,Meia,France,Paris Saint-Germain,17
Wataru Endo,Volante,Japan,Liverpool FC,30
Wei Chen,Goleiro,China,Shanghai Port,24
Wei Zhang,Centroavante,China,Shanghai Shenhua,23
Welington,Lateral esquerdo,Brazil,São Paulo Futebol Clube,22
Wellington Rato,Meia atacante,Brazil,São Paulo Futebol Clube,31
Wenjun Lü,Meia esquerdo,China,Shanghai Port,33
Wesley,Lateral direito,Brazil,CR Flamengo,20
Wesley,Meia esquerdo,Brazil,Sport Club Corinthians Paulista,18
Wesley Fofana,Zagueiro,France,Chelsea FC,22
Weston McKennie,Meia,United States,Juventus FC,25
Weverton,Goleiro,Brazil,Sociedade Esportiva Palmeiras,35
Wilfried Singo,Lateral direito,Cote d'Ivoire,AS Monaco,22
Wilfried Zaha,Meia esquerdo,Cote d'Ivoire,Galatasaray,30
Willi Orbán,Zagueiro,Hungary,RB Leipzig,30
William Carvalho,Volante,Portugal,Real Betis Balompié,31
William Saliba,Zagueiro,France,Arsenal FC,22
Willian,Centroavante,Brazil,Club Athletico Paranaense,36
Willian José,Centroavante,Brazil,Real Betis Balompié,31
Wissam Ben Yedder,Centroavante,France,AS Monaco,33
Wojciech Szczesny,Goleiro,Poland,Juventus FC,33
Xaver Schlager,Meia,Austria,RB Leipzig,26
Xavi Simons,Meia direito,Netherlands,RB Leipzig,20
Xi Wu,Meia,China,Shanghai Shenhua,34
Xiaolong Liu,Meia esquerdo,China,Shanghai Port,19
Xin Xu,Meia,China,Shanghai Port,28
Yacine Adli,Meia atacante,France,AC Milan,23
Yangyang Jin,Zagueiro,China,Shanghai Shenhua,30
Yann Bisseck,Zagueiro,Germany,Inter Milan,22
Yann Lienard,Goleiro,France,AS Monaco,20
Yann Sommer,Goleiro,Switzerland,Inter Milan,34
Yannick Gerhardt,Meia,Germany,VfL Wolfsburg,29
Yannis Nahounou,Zagueiro,France,OGC Nice,19
Yasser Al-Shahrani,Lateral esquerdo,Saudi Arabia,Al-Hilal SFC,31
Yaxiong Bao,Goleiro,China,Shanghai Shenhua,26
Yeray Álvarez,Zagueiro,Spain,Athletic Bilbao,28
Yllan Okou,Zagueiro,France,AS Monaco,20
Yony González,Meia direito,Colombia,Fluminense Football Club,29
Yoshinori Muto,Centroavante,Japan,Vissel Kobe,31
Yoshio Koizumi,Meia atacante,Japan,Urawa Red Diamonds,26
Yota Horiuchi,Midfield,Japan,Urawa Red Diamonds,18
Youcef Atal,Lateral direito,Algeria,OGC Nice,27
Yougang Xu,Lateral direito,China,Shanghai Shenhua,27
Young,Goleiro,Brazil,São Paulo Futebol Clube,21
Youssouf Fofana,Meia,France,AS Monaco,24
Youssouf Ndayishimiye,Volante,Burundi,OGC Nice,24
Youssouf Sabaly,Lateral direito,Senegal,Real Betis Balompié,30
Youssoufa Moukoko,Centroavante,Germany,Borussia Dortmund,18
Yue Zhu,Lateral direito,China,Shanghai Shenhua,22
Yuichi Hirano,Volante,Japan,Urawa Red Diamonds,26
Yuki Honda,Zagueiro,Japan,Vissel Kobe,32
Yunding Cao,Left Midfield,China,Shanghai Shenhua,33
Yunus Musah,Meia,United States,AC Milan,20
Yuri Alberto,Centroavante,Brazil,Sport Club Corinthians Paulista,22
Yuri Berchiche,Lateral esquerdo,Spain,Athletic Bilbao,33
Yusei Ozaki,Zagueiro,Japan,Vissel Kobe,20
Yussuf Poulsen,Centroavante,Denmark,RB Leipzig,29
Yuta Miyamoto,Volante,Japan,Urawa Red Diamonds,23
Yuya Nakasaka,Meia atacante,Japan,Vissel Kobe,26
Yuya Osako,Centroavante,Japan,Vissel Kobe,33
Yuya Tsuboi,Goleiro,Japan,Vissel Kobe,24
Zack Steffen,Goleiro,United States,Manchester City,28
Zeki Çelik,Lateral direito,Turkey,AS Roma,26
Zexiang Yang,Lateral direito,China,Shanghai Shenhua,28
Zhen Ma,Goleiro,China,Shanghai Shenhua,25
Zhen Wei,Zagueiro,China,Shanghai Port,25
Zhengkai Zhou,Goleiro,China,Shanghai Shenhua,22
Ziyad Mubarak Al-Johani,Volante,Saudi Arabia,Al-Ahli SFC,21
Zé Ivaldo,Zagueiro,Brazil,Club Athletico Paranaense,26
Zé Rafael,Meia,Brazil,Sociedade Esportiva Palmeiras,30
Álex Berenguer,Meia esquerdo,Spain,Athletic Bilbao,28
Álex Remiro,Goleiro,Spain,Real Sociedad,28
Álvaro Odriozola,Lateral direito,Spain,Real Sociedad,27
Ángel Romero,Meia esquerdo,Paraguay,Sport Club Corinthians Paulista,31
Éder Militão,Zagueiro,Brazil,Real Madrid,25
Éverton Ribeiro,Meia atacante,Brazil,CR Flamengo,34
Óscar de Marcos,Lateral direito,Spain,Athletic Bilbao,34
İlkay Gündoğan,Meia,Germany,FC Barcelona,32
İrfan Can Eğribayat,Goleiro,Turkey,Fenerbahce,25
İrfan Can Kahveci,Meia direito,Turkey,Fenerbahce,28
İsmail Yüksek,Volante,Turkey,Fenerbahce,24
